-,-,[cue],[cue],[MEAN],[95ci]
-,-,[invalid],[valid],-,-
[subject_nr],[0.0],1.0,1.0,1.0,0.0
[subject_nr],[1.0],0.928571428571,0.946808510638,0.937689969605,0.0128955643985
[subject_nr],[2.0],0.95,1.0,0.975,0.0353553390593
[subject_nr],[3.0],0.8,0.90243902439,0.851219512195,0.0724353288045
[subject_nr],[4.0],0.875,0.968421052632,0.921710526316,0.0660586598214
[subject_nr],[5.0],0.4,0.384615384615,0.392307692308,0.0108785658644
[subject_nr],[7.0],0.75,0.918918918919,0.834459459459,0.119443713038
[subject_nr],[8.0],0.75,0.765957446809,0.757978723404,0.0112836188487
[subject_nr],[9.0],0.833333333333,0.940298507463,0.886815920398,0.0756357999777
[subject_nr],[10.0],0.923076923077,0.865853658537,0.894465290807,0.0404629583981
[subject_nr],[11.0],1.0,0.666666666667,0.833333333333,0.235702260396
[subject_nr],[12.0],0.875,0.939759036145,0.907379518072,0.0457915536009
[subject_nr],[13.0],0.714285714286,0.920454545455,0.81737012987,0.145783378589
[subject_nr],[14.0],0.586206896552,0.818181818182,0.702194357367,0.16403104015
[subject_nr],[15.0],0.607142857143,0.653846153846,0.630494505495,0.0330242178027
[MEAN],-,0.799507810197,0.846148048286,0.822827929242,-
[95ci],-,0.0857319928823,0.0848806255473,-,0.1673261548
