-,-,[cue],[cue],[cue],[cue],[MEAN],[95ci]
-,-,[invalid],[invalid],[valid],[valid],-,-
-,-,[attLum],[attLum],[attLum],[attLum],-,-
-,-,[black],[white],[black],[white],-,-
[subject_nr],[0.0],0.0,0.0,0.0,0.0,0.0,0.0
[subject_nr],[1.0],0.0,0.0,0.0,0.0,0.0,0.0
[subject_nr],[2.0],0.0,0.0,0.0540540540541,0.0,0.0135135135135,0.027027027027
[subject_nr],[3.0],0.0,0.0,0.0,0.0,0.0,0.0
[subject_nr],[4.0],0.0666666666667,0.0,0.0,0.0,0.0166666666667,0.0333333333333
[subject_nr],[5.0],0.0,0.0,0.0,0.0,0.0,0.0
[subject_nr],[7.0],0.0,0.0,0.105263157895,0.0277777777778,0.0332602339181,0.0497559534364
[subject_nr],[8.0],0.0,0.0,0.0204081632653,0.0222222222222,0.0106575963719,0.0123285961171
[subject_nr],[9.0],0.153846153846,0.0909090909091,0.0882352941176,0.0909090909091,0.105974907445,0.0319390449074
[subject_nr],[10.0],0.0,0.0,0.0,0.0,0.0,0.0
[subject_nr],[11.0],0.0,0.0,0.0,0.0,0.0,0.0
[subject_nr],[12.0],0.0,0.0833333333333,0.0526315789474,0.0444444444444,0.0451023391813,0.0344139128378
[subject_nr],[13.0],0.0769230769231,0.0,0.0,0.0217391304348,0.0246655518395,0.0363143303449
[subject_nr],[14.0],0.0,0.0,0.0,0.0,0.0,0.0
[subject_nr],[15.0],0.142857142857,0.0,0.025,0.0,0.0419642857143,0.0682865486102
[MEAN],-,0.0293528693529,0.0116161616162,0.0230394832186,0.0138061777192,0.0194536729767,-
[95ci],-,0.0275579274074,0.0155304664523,0.0179621435322,0.0129155035968,-,0.037848404152
