-,-,[subject_nr],[MEAN],[95ci]
-,-,[15.0],-,-
[subject_nr],[0.0],236.0,236.0,nan
[subject_nr],[1.0],227.0,227.0,nan
[subject_nr],[2.0],237.0,237.0,nan
[subject_nr],[3.0],227.0,227.0,nan
[subject_nr],[5.0],236.0,236.0,nan
[subject_nr],[6.0],222.0,222.0,nan
[subject_nr],[7.0],170.0,170.0,nan
[subject_nr],[8.0],233.0,233.0,nan
[subject_nr],[9.0],204.0,204.0,nan
[subject_nr],[10.0],239.0,239.0,nan
[subject_nr],[11.0],176.0,176.0,nan
[subject_nr],[12.0],224.0,224.0,nan
[subject_nr],[13.0],172.0,172.0,nan
[subject_nr],[14.0],215.0,215.0,nan
[subject_nr],[15.0],209.0,209.0,nan
[MEAN],-,215.133333333,215.133333333,-
[95ci],-,12.2743234075,-,24.2542092567
