subject_nr,ce,pe,block
0.0,133.285802135,42.9305675028,1.0
1.0,39.4870229228,28.7441964881,1.0
2.0,21.5356576296,-34.5569286261,1.0
3.0,331.515265514,4.24800044078,1.0
4.0,282.33456026,18.5140161545,1.0
5.0,211.207866053,42.0023308,1.0
7.0,148.831858335,55.0741641356,1.0
8.0,354.256629564,34.0685293006,1.0
9.0,45.7655610228,-24.6647507576,1.0
10.0,107.114424227,31.0066720707,1.0
11.0,-19.5264765263,62.8854159409,1.0
12.0,41.9196642852,48.2459602106,1.0
13.0,256.107772214,59.7428855531,1.0
14.0,61.6882082928,43.0213872717,1.0
15.0,15.7750075588,30.2425352804,1.0
